date,n1,n2,n3,n4,n5,n6,supp1,supp2
2018-05-23,9,13,23,28,29,39,26,40
2018-06-06,8,19,21,35,36,37,2,15
2018-06-20,3,21,29,31,37,39,19,30
2018-06-27,2,5,10,22,24,28,32,42
2018-07-18,9,13,21,23,28,45,19,27
2018-09-12,9,10,15,31,35,40,14,41
2018-09-26,5,8,11,14,39,45,26,36
2018-10-03,1,6,8,17,34,45,15,24
2018-10-10,5,10,15,19,40,43,34,42
2018-10-24,5,6,11,12,22,24,27,28
2018-10-31,2,3,8,12,31,39,33,43
2018-11-14,4,14,15,22,30,37,5,41
2018-11-28,2,23,30,38,39,44,1,24
2018-12-26,2,5,6,11,19,20,25,39
2019-01-09,1,5,31,34,42,45,13,20
2019-01-16,14,19,28,35,42,44,32,39
2019-01-23,3,6,9,16,21,36,34,41
2019-02-06,7,15,18,25,27,41,17,28
2019-02-13,2,12,22,25,29,38,6,39
2019-03-27,5,6,14,18,20,25,35,41
2019-04-03,4,5,7,10,19,45,33,43
2019-04-10,11,22,28,34,36,37,2,29
2019-04-24,6,11,21,28,35,44,17,27
2019-05-08,10,16,22,26,35,36,27,32
2019-05-22,4,7,14,30,34,42,20,32
2019-05-29,19,21,24,26,27,30,40,45
2019-06-12,10,13,26,31,34,38,7,37
2019-06-19,3,7,8,10,16,39,6,18
2019-06-26,5,7,19,25,35,40,4,15
2019-07-10,7,27,28,30,36,45,2,31
2019-07-24,15,20,22,23,26,27,6,35
2019-07-31,10,16,19,29,34,42,22,44
2019-09-04,3,6,10,15,38,42,30,37
2019-10-02,3,4,9,23,33,41,29,34
2019-10-23,2,8,14,20,22,24,9,41
2019-10-30,7,15,25,33,43,44,6,34
2019-11-06,4,12,19,26,39,40,14,37
2019-11-13,18,19,38,41,43,44,14,42
2019-11-20,8,15,29,34,35,36,1,24
2019-11-27,5,10,17,38,40,45,7,44
2019-12-04,2,12,16,35,38,40,24,29
2019-12-11,3,4,8,22,28,41,12,43
2019-12-25,2,23,26,28,31,40,22,30
2020-01-01,20,23,24,25,37,43,18,33
2020-01-08,9,11,13,22,24,42,1,26
2020-01-22,2,4,13,23,31,38,27,45
2020-01-29,5,10,11,24,26,30,2,43
2020-02-12,5,11,14,37,41,45,13,39
2020-02-19,2,7,18,21,36,43,9,25
2020-03-04,6,8,12,29,39,40,10,37
2020-03-11,2,5,18,32,42,45,13,17
2020-03-18,14,15,18,19,22,41,10,20
2020-04-01,11,27,34,37,40,45,15,22
2020-04-15,12,14,19,39,41,44,8,27
2020-04-22,4,11,15,19,24,43,8,12
2020-04-29,4,7,17,20,38,39,33,44
2020-05-20,4,15,16,17,20,44,41,45
2020-05-27,8,9,19,23,31,35,6,40
2020-06-03,1,13,24,28,35,41,17,43
2020-07-22,1,4,7,8,39,40,17,44
2020-07-29,4,8,18,20,21,45,17,27
2020-09-02,2,7,21,22,34,40,3,44
2020-09-23,1,4,5,6,31,32,3,11
2020-09-30,10,11,13,26,40,43,29,44
2020-10-07,6,7,9,10,13,17,19,35
2020-10-21,6,17,36,38,40,45,26,30
2020-11-04,1,14,18,20,27,36,4,15
2020-11-11,4,14,20,25,30,45,5,42
2020-11-18,9,11,18,27,37,41,6,19
2020-12-02,24,25,28,34,39,45,2,42
2020-12-16,2,8,16,24,37,44,9,38
2020-12-23,11,15,16,19,21,30,2,9
2020-12-30,2,4,11,20,28,30,7,21
2021-01-06,19,26,29,30,31,35,6,20
2021-01-13,5,13,14,25,38,43,7,31
2021-01-27,13,21,36,38,39,45,33,42
2021-02-03,8,9,10,16,36,42,41,44
2021-03-17,4,7,22,24,35,38,1,31
2021-03-24,5,6,17,29,30,37,8,18
2021-04-07,10,11,16,17,20,24,5,8
2021-04-21,2,3,11,34,39,43,1,12
2021-05-05,2,7,16,17,23,41,6,12
2021-05-12,3,4,9,14,37,41,12,40
2021-05-26,26,27,28,31,38,44,12,41
2021-06-09,2,11,23,30,37,41,20,36
2021-06-23,2,27,29,32,38,40,18,31
2021-07-07,1,5,12,20,26,34,19,45
2021-07-21,11,15,16,17,18,42,14,26
2021-09-01,13,17,25,31,35,43,6,18
2021-09-08,5,6,23,26,38,40,13,16
2021-09-15,11,14,25,41,44,45,10,33
2021-09-22,3,5,29,38,41,44,24,36
2021-09-29,4,20,23,25,26,43,1,27
2021-10-06,4,8,19,33,37,39,6,9
2021-10-20,9,14,21,31,41,43,3,22
2021-10-27,9,14,18,19,22,44,21,42
2021-11-03,5,10,23,25,28,33,1,18
2021-11-10,8,11,13,24,30,43,12,32
2021-11-17,4,8,24,32,40,42,3,16
2021-12-15,5,10,11,33,34,42,18,32
2021-12-22,3,10,15,21,23,28,30,39
2021-12-29,6,9,11,29,31,32,24,36
2022-01-05,3,5,7,12,36,40,20,42
2022-01-12,7,15,18,22,31,37,20,43
2022-01-26,5,9,11,14,21,39,30,43
2022-02-02,5,8,15,27,33,45,16,36
2022-02-16,4,7,10,14,26,28,13,33
2022-03-09,4,8,14,17,36,44,33,35
2022-03-30,11,13,16,18,20,21,28,30
2022-04-06,10,13,17,28,36,37,16,41
2022-04-13,3,17,32,34,36,45,24,43
2022-04-20,2,12,17,26,27,40,37,43
2022-04-27,1,4,15,16,24,30,7,34
